"","X4401","X4402","X4404","X4405","X4406","X4407","X4408","X4409","X4410","X4411","X4412","X4413","X4414","X4415","X4416","X4417","X4418","X4419","X4420","X4421","X4422","X4423","X4424","X4425","X4426","X4427","X4428","X4429","X4430","X4431","X4432","X4433","X4434","X4435","X4436","X4437","X4438"
"4401",NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4402",0,NA,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"4404",0,NA,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"4405",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4406",0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"4407",0,1,0,0,0,NA,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"4408",0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"4409",1,0,0,0,0,1,1,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
"4410",0,0,0,1,1,1,0,0,NA,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"4411",0,0,0,0,1,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0
"4412",0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"4413",0,NA,1,0,1,0,0,0,1,0,0,NA,NA,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
"4414",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
"4415",1,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"4416",0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"4417",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4418",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"4419",0,NA,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"4420",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4422",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4423",0,0,0,0,0,0,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
"4424",0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0
