"","X1501","X1502","X1503","X1504","X1505","X1506","X1507","X1508","X1509","X1511","X1512","X1513","X1515","X1516","X1517","X1518","X1519","X1520","X1521","X1522","X1523","X1524","X1525","X1526","X1527","X1528","X1529","X1530","X1531"
"1501",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1502",0,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"1503",1,0,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"1504",0,1,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1505",0,1,1,0,NA,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"1506",0,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1507",0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1508",0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"1509",0,0,0,0,0,1,0,0,NA,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"1511",0,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
"1512",0,0,1,1,1,0,0,1,1,0,NA,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
"1513",0,0,1,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1515",0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1516",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1517",0,1,1,1,1,0,0,1,1,0,0,1,0,0,NA,0,0,0,0,1,1,0,1,0,1,0,0,0,1
"1518",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"1519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,1
"1521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0
"1522",0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,NA,0,0,1,0,1,0,0,0,1
"1523",0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,NA,0,1,0,1,0,1,0,1
"1524",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"1525",0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,NA,0,0,0,0,0,0
"1526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"1527",0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,NA,0,0,0,0
"1528",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,NA,0,1,0
"1529",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,0
"1530",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0
"1531",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
