"","X2201","X2202","X2203","X2204","X2205","X2206","X2207","X2208","X2209","X2210","X2211","X2212","X2213","X2214","X2215","X2216","X2217","X2218","X2219","X2220","X2221","X2222","X2223","X2224","X2225","X2226","X2227","X2228","X2229","X2230","X2231"
"2201",NA,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
"2202",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2203",1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"2204",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2205",1,0,1,1,NA,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0
"2206",0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2207",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2208",0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2209",0,0,0,0,1,1,1,1,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2211",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2212",0,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2213",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215",0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2216",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2218",1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0
"2219",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,1,1,0,0,1,0,0,1,1
"2220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2221",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,NA,0,1,0,0,0,1,0,0,0,0
"2222",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"2223",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,1,0,0,1,0,0,0,1
"2224",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA,1,0,1,0,1,0,1
"2225",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0
"2226",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"2227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"2228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0
"2230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,1
"2231",1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,NA
