"","X5202","X5212","X5217","X5218","X5225","X5304","X5305","X5306","X5307","X5311","X5314","X5315","X5316","X5318","X5360","X5361"
"5202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5212",1,NA,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"5217",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"5218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5225",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5304",0,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,0
"5305",0,0,0,0,0,1,NA,1,0,1,1,1,1,0,0,0
"5306",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1
"5307",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"5311",0,0,0,0,0,1,1,0,0,NA,0,0,1,0,0,0
"5314",0,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,1
"5315",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"5316",0,0,0,0,0,1,0,0,0,1,0,0,NA,0,0,0
"5318",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0
"5360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
