"","X3202","X3203","X3204","X3205","X3206","X3207","X3208","X3209","X3210","X3211","X3212","X3213","X3214","X3215","X3216","X3217","X3218","X3219","X3221","X3222","X3223","X3224","X3226","X3227","X3228","X3229","X3230","X3231","X3232","X3233","X3234","X3251"
"3202",NA,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0
"3203",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3204",1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3205",1,0,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3206",1,0,0,0,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"3207",0,1,1,1,1,NA,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
"3208",0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3209",1,1,1,0,1,1,0,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"3210",1,1,0,0,0,1,0,0,NA,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
"3211",0,0,0,0,0,0,1,0,1,NA,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
"3212",1,1,1,1,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1
"3213",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3214",1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"3215",0,1,1,0,1,0,0,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"3216",0,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"3217",1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,NA,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1
"3218",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3219",1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"3222",1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,NA,1,1,0,1,1,1,0,1,1,1,0,1
"3223",1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,NA,1,0,0,0,1,0,1,1,0,0,0
"3224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"3226",1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1
"3227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1
"3228",0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,NA,0,0,0,0,0,0,1
"3229",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
"3230",0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"3231",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,NA,0,1,0,0
"3232",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0
"3233",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,1,1
"3234",1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"3251",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,NA
