"","X5216","X5219","X5220","X5601","X5602","X5604","X5605","X5609","X5610","X5619","X5624","X5626","X5627","X5660","X5661","X5662","X5663","X5664","X5665","X5666","X5667"
"5216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5220",0,0,NA,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5601",0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5602",0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"5604",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5605",0,1,0,1,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5609",0,0,1,0,0,0,0,NA,0,0,0,0,1,1,1,0,0,0,0,0,0
"5610",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"5619",0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5624",0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"5626",0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"5627",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"5660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5661",0,1,1,1,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
"5662",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0
"5663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"5664",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"5665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"5666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0
"5667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
